,O43866,O75015,O75636,P00450,P00736,P00747,P00748,P00751,P01011,P01023,P01024,P01033,P01034,P01042,P01591,P01834,P01871,P01876,P01877,P02647,P02652,P02654,P02655,P02656,P02675,P02679,P02741,P02743,P02745,P02746,P02748,P02750,P02751,P02753,P02763,P02766,P02771,P02774,P02787,P02790,P03952,P04003,P04004,P04275,P04278,P05155,P05156,P05160,P05452,P05543,P05546,P06276,P06727,P07225,P07333,P08294,P08519,P08571,P09871,P0C0L4,P10643,P10909,P13591,P13598,P13796,P14151,P15144,P16070,P19320,P20742,P22105,P22891,P24592,P26927,P27169,P27918,P29622,P35858,P41222,P43652,P49747,P51884,P55058,P61626,P61769,P80108,Q10588,Q12805,Q13201,Q14520,Q14624,Q15848,Q16610,Q6EMK4,Q6UXB8,Q96KN2,Q9NPY3,Q9UNN8,Q9Y5Y7,Q9Y6R7
RL101701RS,12.9761755,10.92341226,14.9174173,16.92677604,12.98110718,15.34006793,13.71951166,16.21162236,17.53651928,19.00010281,15.44780584,12.50155935,11.97329043,16.46494192,11.41950635,10.54223781,13.89644888,10.69544137,11.52410655,17.91912381,15.94996784,14.05184139,14.99222061,15.42674725,9.719804988,9.579458361,14.14718271,14.81828839,12.75757176,12.76404189,15.41260239,15.28006378,13.67776151,15.142457,17.41820057,13.41411091,16.01897306,17.09030301,12.22722751,18.02341278,14.73854357,13.71561782,15.55221575,13.33567842,13.73619309,15.65799874,15.64876304,12.40407766,13.47667907,14.33399761,14.94454925,12.43288233,14.60718767,13.08440076,10.9448459,11.22993064,11.59538903,11.73696918,14.67959162,13.99440985,15.05787571,15.17629852,7.7699087,11.92396876,8.371561785,12.9241977,11.52464093,12.10058267,11.38044454,9.769514107,11.74881709,12.47458705,10.3744043,11.3798835,14.04326729,12.25344492,13.98524862,13.17474449,10.87781091,14.49580962,10.31556187,13.12705765,12.78091727,13.02524598,11.40779379,12.58955664,10.76164278,12.80125604,12.25146651,13.80106233,16.34569361,12.3443637,12.10146731,11.90634602,9.613896323,11.34648463,11.91426684,11.95616768,13.43068032,12.46053283
RL103401RS,13.19344201,11.11428868,12.96469112,16.92180743,12.70528197,15.25992151,13.59687379,15.62696019,17.19854944,18.59036675,14.9967921,12.34892579,12.14064484,16.32894861,12.63271451,11.94688295,15.30351647,11.09728667,11.27809001,17.56311683,15.43470493,14.02207118,14.82667688,15.03843967,10.44875251,10.55022396,14.7117643,14.44779566,13.75602114,13.4751221,14.7796757,15.81156866,13.95179044,14.00744759,17.61831544,12.90080371,10.8017679,16.9011156,13.11308173,17.28275399,14.59983472,13.75052224,15.50990269,13.23333506,14.15943794,15.42517982,15.37096995,11.8980177,13.72479641,14.42804823,14.15152725,12.23319069,14.5078584,12.8458558,11.67481886,12.0981324,9.747997024,12.05379767,14.65528195,12.9911762,15.75494891,14.70401444,8.935146923,12.09163528,8.949227666,13.57826808,11.10093637,12.82542885,11.8132046,8.504569255,11.65985886,11.94228441,10.71523522,11.37826414,14.06558105,12.82713527,13.98523732,13.12664058,11.28609574,14.07051531,11.0753239,13.79060825,12.92765851,13.13010216,12.08684842,11.81125121,11.56640573,13.30816608,12.35458806,13.72579735,16.08914644,12.24116318,12.75691281,11.94583188,11.02482526,10.86496796,12.28832384,12.02649013,13.22266413,12.643034
RL103001RS,13.87321527,10.38287926,13.6761482,16.92735414,12.4046053,14.90650947,13.57978946,15.31996439,16.90844607,18.59088807,14.70343996,11.93364978,12.5709359,16.02764305,12.84682598,11.94506476,15.131309,13.51841009,11.91564528,17.49595794,15.73335212,13.41435617,14.77127302,15.83120093,11.35281555,11.65899756,11.83502755,14.31423771,12.94259032,12.89296043,14.46116249,14.59968784,13.62925289,14.48445281,16.9908963,13.02685381,8.258916455,16.40411307,13.26685534,17.30798011,14.3744878,13.26519153,15.0740752,13.59433429,14.36097261,15.66729339,14.77711761,12.33705628,13.72089109,13.97688369,14.05929333,12.43776204,14.56124874,13.1336178,11.74116436,12.05930532,10.7114906,11.56099602,14.2090918,13.67237387,15.42582933,14.49519713,9.053988134,12.42459553,8.478101095,13.17536884,11.23710263,12.70804065,12.03503699,9.704214737,11.87359541,12.0238727,11.47125089,11.18797538,14.00944546,11.94546156,14.06411858,13.28022046,11.5353025,14.2274506,11.25576783,14.08690238,13.17378825,12.74645182,11.65915561,12.30994244,11.30618432,13.66864901,12.01813365,13.54944933,15.85855076,13.20278253,12.50371152,12.26002353,11.7203255,10.85692074,12.50048134,12.44113503,14.02548012,13.01403823
RL103301RS,14.32775889,10.66102022,13.59170304,16.62689804,12.83304526,14.73137063,13.52486875,15.24633765,16.7995932,18.55811007,14.53265106,12.09014557,12.47738762,15.88396121,12.36430088,11.58247311,14.56394655,12.67692917,11.54962289,17.54098372,14.88088015,13.05756236,13.75695921,14.12452613,11.53451907,12.09721206,13.83473854,13.32154847,13.26497245,13.38795415,14.40011788,14.97055234,12.86907796,13.81498952,16.80991391,13.18575495,8.745188702,15.87071674,10.94069655,16.79249696,13.95635827,12.57091453,14.95978161,13.70239401,14.53019838,15.95680929,15.0413866,12.37261786,14.54588435,13.8055555,13.28651339,11.79770651,15.09225041,13.47072787,12.45445809,13.12694462,7.937563993,12.07909289,14.58563983,12.48583356,15.7135739,14.26659361,9.218790453,13.05975479,8.734990661,13.57145643,11.50666025,13.3295011,12.54781128,9.328385079,12.79310563,11.93150011,11.25993907,11.16446024,13.65922537,13.20699195,13.57948177,12.19880045,12.03939653,14.27056283,13.25501334,14.30521862,13.21254091,13.08607335,11.81611332,11.83584528,12.00248351,14.21158384,12.97768069,13.29899769,16.13964564,13.76712854,13.00210921,12.75372393,11.91478857,10.82949512,13.20251608,12.80752036,14.59623562,12.74805871
RL109001RS,15.10396963,10.5069946,14.24184715,16.57180018,12.46310732,14.89519562,13.35393686,15.26163743,16.50762607,18.69071597,14.46046644,12.35541195,12.95534122,16.05502695,12.37069389,11.84306779,14.74493794,12.10708123,12.08842789,17.96887802,15.41538133,13.12253469,13.35546221,14.22260601,9.25843519,9.756714775,13.0691615,13.57109643,13.76652718,13.42620803,14.01511807,14.54366505,13.78603161,14.70452849,16.37262742,13.17727153,12.74669635,16.64321043,10.22698373,16.95473731,13.99347312,12.45621682,15.04025511,13.37653764,14.26454584,15.74079237,14.89641708,12.49089047,13.84835067,14.40408261,13.86301774,11.56994459,15.49519318,13.11012786,12.36541692,12.48473117,9.781613866,12.01887174,14.46438499,12.71491827,15.65997277,14.5026321,8.877095156,12.89442789,8.155663814,13.54918679,11.53870916,13.20215707,12.49147816,9.403299102,11.93992611,12.21253146,11.79414644,9.998320693,13.74497904,12.81897983,13.55725754,12.67766325,12.91291326,14.65381435,12.33118448,14.44398638,13.00820864,13.30033909,12.52413851,11.57358929,11.77241758,13.7361559,13.11675051,13.44424194,15.49445353,12.94409967,12.92036711,12.49423623,12.17586778,9.622403147,13.27523184,13.11942619,14.86532842,12.58516625
RL103701RS,14.48206598,12.0317811,14.03011986,16.81786697,13.1625138,14.52253421,12.46103867,15.23854816,18.01721422,18.78851741,14.51034763,12.81580061,12.62050013,15.49526907,13.36856148,13.02289809,15.77391397,14.30934095,13.24716971,15.60815366,12.94423439,10.2216013,12.58955614,11.33113256,11.54093722,11.75559768,15.96694769,12.92662615,14.26472688,13.9005097,14.49747759,15.2652786,13.09641649,13.25071467,18.17406839,12.77938221,9.215688245,15.61859422,11.39810597,16.54154934,13.48022639,11.75565963,15.00954208,13.60404528,12.84226781,15.77204623,15.01333381,11.89243045,14.13402489,13.9282436,12.82275632,11.33876097,15.73552581,13.19021024,13.0921959,13.25896194,6.803881293,12.5026959,14.7521883,13.26239066,15.92069024,13.92837758,9.439540522,13.36764425,8.954421547,14.55244413,11.74049854,13.96251397,13.42038899,9.640374742,13.04445697,11.10035801,11.51830989,10.66679946,11.48091622,13.59291116,12.78483538,11.07741331,12.42825947,14.00879706,13.0240251,15.23288072,13.38268601,13.19729663,12.60862743,9.306629874,12.66962683,14.73397951,13.98766743,13.17946653,15.36687505,12.8218801,13.82180081,12.84728087,12.74220669,9.121897828,13.76384451,13.35101812,15.66751371,14.00489139
RL108201RS,12.6344484,10.75256528,15.25425976,16.9421579,13.1763701,15.85585214,13.8341497,16.38214362,17.40736232,19.61407161,15.67275875,12.17528571,11.80604923,16.65917418,11.2188272,9.837659,12.82063001,10.63816851,11.99660806,18.34833454,16.5856827,14.53726779,16.03929584,16.00474686,8.062608583,8.639520873,13.41286554,15.22892173,12.52158188,12.53413201,15.22231541,14.72966959,14.48043711,15.60448048,17.48591841,13.86528593,9.359185996,17.22527456,11.68699637,18.15884286,15.46740848,12.64048427,16.17123839,13.43082115,13.26557798,14.96015589,15.88985527,12.633192,14.04182236,14.40742307,15.06354384,13.33994256,15.3534641,12.91485936,11.33975088,11.4879285,8.574020249,11.61231045,14.98620184,13.61617677,14.82802942,15.34622891,8.469121463,11.84291375,8.292529792,13.10992535,10.99146161,12.42279526,11.47238884,9.834216262,11.65175367,12.98630767,10.3719038,11.33819864,14.31728753,11.72728313,14.49913665,13.71062736,10.91948511,15.3798092,10.87080538,13.93242398,12.91252253,12.63323885,10.73867994,13.21143595,11.27153041,12.59470948,12.00394863,13.97269635,16.27913367,12.39611241,12.56857549,11.83997409,9.90192666,11.53495672,11.54566917,12.72932297,13.64801438,12.73658789
RL109801RS,14.38785264,10.91162349,14.48021284,17.08436716,12.67982996,14.84179905,13.15144182,15.50940929,16.82697158,18.88118978,14.53051762,12.32083654,12.74801386,16.11436299,12.56557581,12.02995725,15.24220633,11.58589913,11.64684161,17.7962749,15.43766631,12.85126511,13.69753664,13.73293971,12.30182334,12.63203662,13.41539183,13.27671748,13.44423344,13.25265121,14.31933648,14.77679597,13.00562428,14.26154545,16.60580607,12.9647284,9.461696317,16.76305036,12.0848455,17.12509689,14.25347888,12.35761643,15.19643417,13.32030294,14.12238397,15.84427292,14.89844258,12.18690398,14.2324342,14.53334756,13.79235327,11.55795529,15.11954867,13.16875095,12.89541984,12.16687815,8.912284953,12.18858553,14.60428146,12.40151594,15.17928548,14.43179252,8.925711032,13.03752348,8.384196388,13.79389866,11.40260738,13.36989702,13.19371594,9.823052314,12.61775409,11.97427275,11.08207091,10.94970417,14.04647406,12.80891769,13.09478685,12.41074349,12.10063723,14.57934027,11.31985674,14.02534219,13.01146583,13.09560738,12.25652266,11.40852302,10.15362571,13.6777933,12.99170112,13.33776612,15.61548159,12.66294248,13.05763019,12.3094208,11.94208939,9.923123964,12.98600517,12.76737316,15.13824696,13.0453072
RL107701RS,14.60753301,11.0676577,14.02549684,17.03432027,12.52327291,14.77333972,13.33295064,14.95181603,16.9226693,18.74692354,14.34088371,12.06600498,12.21096255,15.82532105,14.55063265,14.44897038,17.58889705,13.83952719,12.76263015,15.85345142,14.03187272,11.65830799,12.54124815,11.61497313,12.12974314,12.56955945,14.04538647,13.56651558,13.65811511,13.5845322,13.96328946,14.72379448,12.50255862,13.70038352,16.98633714,12.72391903,9.485601655,15.78674787,9.689570522,16.08724778,13.82901521,13.1986032,14.68014806,13.97858261,13.92344138,16.20881817,14.81080404,12.57732028,14.01214205,13.94737771,13.09269867,11.47679946,15.20326544,13.10299762,12.62506935,13.32941092,9.712161501,12.29941862,14.2591702,13.35575761,15.72883726,14.34160789,9.302584267,12.61130045,8.949225582,13.52567005,11.32588514,13.55468133,12.56390433,9.666610859,12.46647122,12.58045294,10.88355057,10.92781126,13.04182088,13.00027991,13.24614791,11.97172706,11.81602928,14.01020901,12.20177136,14.55790189,12.60174922,12.75522375,12.1324813,11.0185365,11.99754299,14.03811561,13.2698881,12.98324671,15.98325019,13.90586976,12.80783895,12.82443702,11.84855068,10.35723491,13.39303181,12.96540331,14.92336737,13.28144324
RL104501RS,14.41064125,11.64354166,14.52508414,16.32973451,12.78071321,15.06694022,13.66701824,15.795372,16.95483864,19.07299347,15.02239194,12.56435763,12.39815758,16.34379986,12.73230171,12.64334055,15.52303503,11.29234272,11.23124726,16.3529525,15.31448194,12.20400103,12.72706636,12.17885365,11.51637546,11.85752942,13.20286502,13.89162421,13.71318936,13.52071935,14.07164477,14.89180122,13.37496563,14.61385829,16.7333591,13.21502146,10.71342551,16.55468139,10.35027538,16.93382172,13.967086,13.83934835,14.82654972,13.73556672,14.18932131,15.77065265,15.06868361,12.91341115,13.84357329,14.26870822,13.89491643,11.13385908,14.88928288,12.92646015,12.94261102,12.12993413,8.796628601,12.27981216,14.63340953,12.91080738,15.99015892,14.52226092,8.717498643,12.86539731,8.716519249,13.41881094,11.32743129,13.30816525,12.69201881,9.998981184,11.94144302,12.06591106,10.88239665,11.22838532,13.96342967,12.50941521,13.62475495,12.93552246,11.85365873,14.54503022,10.89651248,14.15083284,12.68986551,13.41589636,12.25735758,11.1612793,12.03187776,13.55019588,13.01601192,13.19347537,15.82362921,13.49342873,12.71234469,12.49321393,11.56423792,9.894350267,12.8997017,12.89028203,15.07939426,13.10015207
RL102301RS,13.31011173,10.609225,13.83513835,16.65616904,12.43437307,14.86475324,13.87577781,15.6128314,17.14312583,18.92598793,14.87871228,12.33152769,12.26271906,16.70380946,11.60880336,10.88962128,13.97817799,10.37291018,11.39406526,17.44272921,16.22313043,14.21949095,14.23478302,14.87612365,12.04102946,12.45397214,11.42636053,14.28814494,13.45213429,13.43144753,14.08565729,14.7286369,13.7509556,14.90252194,16.79350825,13.13759549,9.315997133,16.70394705,12.09343738,17.116724,14.33026741,13.79194265,14.68904037,14.00631101,14.05626289,16.21686902,14.76480657,12.51807195,13.65667651,14.18654558,13.77549331,11.89310072,14.86538368,12.34707191,12.29743809,12.54769001,10.50063163,12.13012309,14.40681034,13.96519691,15.91954175,14.57902639,9.074705176,12.53216864,8.178492682,13.26028159,11.88158034,12.90029973,12.41800632,9.851511352,12.12332882,12.1984645,10.57256276,11.02357118,14.18613848,12.50800168,13.80817026,12.77226521,11.37363094,14.5605984,11.32993397,14.16222943,13.1719482,12.29069211,11.68912685,12.56158305,11.66773432,13.45719689,12.81035625,12.97540109,15.92221122,13.551617,12.51844114,12.60804413,10.82113613,10.45770092,12.71379208,12.84639828,14.70216366,12.76203759
